jasonryanmd, 19937, 1266, 2441, 1, 4.584793882602872, 4.112631553332456, Low Rating+NotFollowing
BasimAlee, 1672, 1625, 1024, 1, 3.0226828644279164, 4.112631553332456, Low Rating+NotFollowing
HinaInam5, 359, 164, 425, 1, 2.9686395305809326, 4.112631553332456, Low Rating+NotFollowing
FaisalwIsmail, 320, 66, 92, 1, 2.6493938701235926, 4.112631553332456, Low Rating+NotFollowing
AmanQureshi_, 541, 300, 472, 3, 2.9300180090209946, 4.112631553332456, Low Rating+NotFollowing
Adeel_A_Sham, 1897, 579, 2431, 0, 3.9011737260045622, 4.112631553332456, Low Rating+NotFollowing
AbdullahUQ, 809, 249, 1233, 3, 3.602712251112268, 4.112631553332456, Low Rating+NotFollowing
SamrahRazi, 1178, 290, 177, 17, 2.8567205589139335, 4.112631553332456, Low Rating+NotFollowing
Adnan_Al_Khan, 837, 798, 300, 3, 2.497843821362193, 4.112631553332456, Low Rating+NotFollowing
Shahzad_Shamim, 1757, 583, 4809, 1, 4.161157983810088, 4.112631553332456, Low Rating+NotFollowing
UnitedSpinal, 11174, 882, 4853, 1, 4.788750373207612, 4.112631553332456, Low Rating+NotFollowing
ISCoSmeetings, 1932, 3948, 2286, 1, 3.0487062041411384, 4.112631553332456, Low Rating+NotFollowing
RebeccaCokley, 43592, 12553, 92732, 0, 5.50788889261358, 4.112631553332456, Low Rating+NotFollowing
DrDWMcMillan, 674, 1073, 1934, 1, 3.0845166443163516, 4.112631553332456, Low Rating+NotFollowing
NewMobilityMag, 12544, 2571, 2329, 3, 4.0555034572321835, 4.112631553332456, Low Rating+NotFollowing
ADANational, 6715, 1379, 11629, 1, 4.753024121348023, 4.112631553332456, Low Rating+NotFollowing
AAPD, 43394, 5432, 17558, 1, 5.146944968066631, 4.112631553332456, Low Rating+NotFollowing
SPINALpedia, 11958, 8528, 19211, 1, 4.4303613294043185, 4.112631553332456, Low Rating+NotFollowing
machsci, 3582, 400, 1336, 0, 4.077872048324577, 4.112631553332456, Low Rating+NotFollowing
datawithsuman, 19761, 42, 280, 1, 5.119717659105495, 4.112631553332456, Low Rating+NotFollowing
Rita_tyna, 8791, 529, 4022, 0, 4.825024674279955, 4.112631553332456, Low Rating+NotFollowing
temabef, 67548, 987, 4583, 0, 5.496445199282977, 4.112631553332456, Low Rating+NotFollowing
DataKwery, 2097, 12, 838, 1, 5.165661203047995, 4.112631553332456, Low Rating+NotFollowing
krismayes, 9412, 3370, 3940, 0, 4.041548239458219, 4.112631553332456, Low Rating+NotFollowing
nadyabliss, 1571, 593, 8751, 0, 4.365179175517106, 4.112631553332456, Low Rating+NotFollowing
gracesosullivan, 1553, 2421, 3830, 7, 3.3903754402554487, 4.112631553332456, Low Rating+NotFollowing
ASUEmbeddedness, 1277, 777, 2204, 0, 3.5589814686422483, 4.112631553332456, Low Rating+NotFollowing
michaelcrow, 30244, 1530, 5559, 1, 5.040944472611143, 4.112631553332456, Low Rating+NotFollowing
ltelkins, 9340, 961, 17721, 0, 5.236111714138991, 4.112631553332456, Low Rating+NotFollowing
jeffreyjcohen, 9454, 1572, 1279, 0, 3.88603360074216, 4.112631553332456, Low Rating+NotFollowing
AZRegents, 7144, 1755, 9804, 1, 4.601067627658687, 4.112631553332456, Low Rating+NotFollowing
asunews, 19999, 1024, 14031, 0, 5.437796948385355, 4.112631553332456, Low Rating+NotFollowing
ASUResearch, 12933, 1905, 14315, 1, 4.9875956499195295, 4.112631553332456, Low Rating+NotFollowing
zhaiwx1987, 342, 229, 413, 25, 2.790140675372648, 4.112631553332456, Low Rating+NotFollowing
MYonkovit, 1439, 799, 1839, 1, 3.5200957438606912, 4.112631553332456, Low Rating+NotFollowing
janaboruta, 3665, 697, 15496, 0, 4.911060808590192, 4.112631553332456, Low Rating+NotFollowing
ask_dba, 1700, 1501, 3517, 3, 3.600240597451946, 4.112631553332456, Low Rating+NotFollowing
lefred, 3054, 609, 14155, 2, 4.851161613788649, 4.112631553332456, Low Rating+NotFollowing
Percona, 16278, 3192, 19890, 1, 5.0061729445909835, 4.112631553332456, Low Rating+NotFollowing
neondatabase, 1324, 191, 113, 1, 2.8939330613393732, 4.112631553332456, Low Rating+NotFollowing
jeremycole, 4598, 1114, 15740, 0, 4.812688504118596, 4.112631553332456, Low Rating+NotFollowing
MarkCallaghanDB, 3709, 181, 3243, 1, 4.822525207132398, 4.112631553332456, Low Rating+NotFollowing
ovaistariq, 678, 1014, 1456, 1, 2.9883531138467645, 4.112631553332456, Low Rating+NotFollowing
CISAJen, 46201, 423, 2322, 0, 5.4041732237953655, 4.112631553332456, Low Rating+NotFollowing
